num	color	name	cost	rent	rent1	rent2	rent3	rent4	rent5	zalog	costhome
16	#ff9900	no.png	200	16	80	220	600	800	1000	100	100
18	#ff9900	dk.png	180	14	70	200	550	750	950	90	100
19	#ff9900	fi.png	180	14	70	200	550	750	950	90	100
37	#2a52be	ae.png	350	35	175	500	1100	1300	1500	175	200
39	#2a52be	us.png	400	50	200	600	1400	1700	2000	200	200
31	#00cc00	ru.png	300	26	130	390	900	1100	1275	150	200
32	#00cc00	it.png	300	26	130	390	900	1100	1275	150	200
34	#00cc00	fr.png	320	28	150	450	1000	1200	1400	160	200
21	#сс0000	mx.png	240	20	100	300	750	925	1100	120	150
23	#сс0000	tn.png	220	18	90	250	700	875	1050	110	150
24	#сс0000	th.png	220	18	90	250	700	875	1050	110	150
11	#d950a9	lt.png	140	10	50	150	450	625	750	70	100
13	#d950a9	ge.png	140	10	50	150	450	625	750	70	100
14	#d950a9	ee.png	160	12	60	180	500	700	900	80	100
6	#33ccff	vn.png	100	6	30	90	270	400	550	50	50
8	#33ccff	md.png	100	6	30	90	270	400	550	50	50
9	#33ccff	mv.png	120	8	40	100	300	450	600	60	50
1	#654321	tz.png	60	4	20	60	180	320	450	30	50
3	#654321	za.png	60	2	10	30	90	160	250	30	50
26	#f8f32b	pt.png	280	24	120	360	850	1025	1200	140	150
27	#f8f32b	pl.png	260	22	110	330	800	975	1150	130	150
29	#f8f32b	lv.png	260	22	110	330	800	975	1150	130	150
